representation,trial_index,c_value,class_weight,repeat_index,fold_index,macro_auroc,balanced_accuracy,composite_score
early_l2_concat,3,0.001,balanced,0,0,0.7600352293209436,0.34285714285714286,0.5514461860890432
early_l2_concat,3,0.001,balanced,0,1,0.8706256243756243,0.5476190476190477,0.709122335997336
early_l2_concat,3,0.001,balanced,0,2,0.8904207748772965,0.5880952380952381,0.7392580064862673
early_l2_concat,3,0.001,balanced,0,3,0.8260531135531135,0.3928571428571428,0.6094551282051281
early_l2_concat,3,0.001,balanced,0,4,0.872148123615515,0.4642857142857143,0.6682169189506146
early_l2_concat,3,0.001,balanced,1,0,0.8539711082568225,0.3925170068027211,0.6232440575297719
early_l2_concat,3,0.001,balanced,1,1,0.8887128270280443,0.5571428571428572,0.7229278420854508
early_l2_concat,3,0.001,balanced,1,2,0.8794117838683057,0.6047619047619047,0.7420868443151052
early_l2_concat,3,0.001,balanced,1,3,0.8628671328671329,0.4523809523809524,0.6576240426240426
early_l2_concat,3,0.001,balanced,1,4,0.8553266117940032,0.43809523809523815,0.6467109249446207
early_l2_concat,3,0.001,balanced,2,0,0.8906084656084656,0.567687074829932,0.7291477702191989
early_l2_concat,3,0.001,balanced,2,1,0.9046110049370919,0.5333333333333333,0.7189721691352127
early_l2_concat,3,0.001,balanced,2,2,0.8785573484486527,0.5,0.6892786742243264
early_l2_concat,3,0.001,balanced,2,3,0.8103500666000666,0.40476190476190477,0.6075559856809857
early_l2_concat,3,0.001,balanced,2,4,0.8656776556776558,0.5928571428571429,0.7292673992673993
early_l2_concat,4,0.01,none,0,0,0.7441049162477734,0.37142857142857144,0.5577667438381724
early_l2_concat,4,0.01,none,0,1,0.8617034776817384,0.39285714285714285,0.6272803102694406
early_l2_concat,4,0.01,none,0,2,0.8909402553967771,0.5523809523809524,0.7216606038888648
early_l2_concat,4,0.01,none,0,3,0.7785897435897436,0.41666666666666663,0.5976282051282051
early_l2_concat,4,0.01,none,0,4,0.874642477088129,0.4642857142857143,0.6694640956869217
early_l2_concat,4,0.01,none,1,0,0.8417806796378225,0.3448979591836735,0.593339319410748
early_l2_concat,4,0.01,none,1,1,0.8464095143986449,0.5452380952380952,0.69582380481837
early_l2_concat,4,0.01,none,1,2,0.8645842201276984,0.5761904761904761,0.7203873481590872
early_l2_concat,4,0.01,none,1,3,0.8467574092574094,0.38095238095238093,0.6138548951048952
early_l2_concat,4,0.01,none,1,4,0.8605903878729967,0.46190476190476193,0.6612475748888793
early_l2_concat,4,0.01,none,2,0,0.8736368657797229,0.588095238095238,0.7308660519374804
early_l2_concat,4,0.01,none,2,1,0.9012350692785475,0.569047619047619,0.7351413441630832
early_l2_concat,4,0.01,none,2,2,0.8796313831096441,0.45238095238095244,0.6660061677452982
early_l2_concat,4,0.01,none,2,3,0.7809178321678322,0.36904761904761907,0.5749827256077256
early_l2_concat,4,0.01,none,2,4,0.8583091727113467,0.6166666666666666,0.7374879196890066
early_l2_concat,5,0.01,balanced,0,0,0.740680007822865,0.35102040816326535,0.5458502079930652
early_l2_concat,5,0.01,balanced,0,1,0.8570792070248593,0.5476190476190477,0.7023491273219535
early_l2_concat,5,0.01,balanced,0,2,0.8864512661251792,0.5523809523809524,0.7194161092530658
early_l2_concat,5,0.01,balanced,0,3,0.7855831668331669,0.38095238095238093,0.5832677738927738
early_l2_concat,5,0.01,balanced,0,4,0.8805198062806758,0.4642857142857143,0.672402760283195
early_l2_concat,5,0.01,balanced,1,0,0.8417806796378225,0.3448979591836735,0.593339319410748
early_l2_concat,5,0.01,balanced,1,1,0.8507236965932619,0.5214285714285715,0.6860761340109167
early_l2_concat,5,0.01,balanced,1,2,0.859089714633193,0.5761904761904761,0.7176400954118345
early_l2_concat,5,0.01,balanced,1,3,0.84120004995005,0.38095238095238093,0.6110762154512155
early_l2_concat,5,0.01,balanced,1,4,0.8545798766450939,0.47380952380952385,0.6641947002273089
early_l2_concat,5,0.01,balanced,2,0,0.8769949362806507,0.567687074829932,0.7223410055552913
early_l2_concat,5,0.01,balanced,2,1,0.8984878165312947,0.5333333333333333,0.715910574932314
early_l2_concat,5,0.01,balanced,2,2,0.8791288421723206,0.45238095238095244,0.6657548972766365
early_l2_concat,5,0.01,balanced,2,3,0.7866321178821177,0.36904761904761907,0.5778398684648685
early_l2_concat,5,0.01,balanced,2,4,0.8538340644862383,0.5928571428571429,0.7233456036716905
early_l2_concat,6,0.1,none,0,0,0.7389383632240775,0.33571428571428574,0.5373263244691816
early_l2_concat,6,0.1,none,0,1,0.842562473758126,0.44523809523809527,0.6439002844981107
early_l2_concat,6,0.1,none,0,2,0.8879363209254514,0.5047619047619047,0.6963491128436781
early_l2_concat,6,0.1,none,0,3,0.7670492007992008,0.38095238095238093,0.5740007908757909
early_l2_concat,6,0.1,none,0,4,0.8676186675643196,0.4642857142857143,0.665952190925017
early_l2_concat,6,0.1,none,1,0,0.8377330605902035,0.3448979591836735,0.5913155098869385
early_l2_concat,6,0.1,none,1,1,0.8315069169960474,0.5452380952380952,0.6883725061170713
early_l2_concat,6,0.1,none,1,2,0.8610113980222678,0.5476190476190477,0.7043152228206577
early_l2_concat,6,0.1,none,1,3,0.83236346986347,0.38095238095238093,0.6066579254079254
early_l2_concat,6,0.1,none,1,4,0.8539663235315409,0.4976190476190476,0.6757926855752943
early_l2_concat,6,0.1,none,2,0,0.8641377934235077,0.4962585034013606,0.6801981484124342
early_l2_concat,6,0.1,none,2,1,0.8946123984710941,0.6047619047619046,0.7496871516164993
early_l2_concat,6,0.1,none,2,2,0.8759016164994425,0.45238095238095244,0.6641412844401975
early_l2_concat,6,0.1,none,2,3,0.7567632367632368,0.36904761904761907,0.562905427905428
early_l2_concat,6,0.1,none,2,4,0.8572069416091156,0.6166666666666666,0.7369368041378911
early_l2_concat,7,0.1,balanced,0,0,0.735466649752364,0.3153061224489796,0.5253863861006718
early_l2_concat,7,0.1,balanced,0,1,0.8463750561033169,0.5166666666666667,0.6815208613849918
early_l2_concat,7,0.1,balanced,0,2,0.882525065514196,0.5047619047619047,0.6936434851380504
early_l2_concat,7,0.1,balanced,0,3,0.7591612554112555,0.38095238095238093,0.5700568181818182
early_l2_concat,7,0.1,balanced,0,4,0.8688609035891643,0.42857142857142855,0.6487161660802965
early_l2_concat,7,0.1,balanced,1,0,0.8365673215673216,0.3448979591836735,0.5907326403754976
early_l2_concat,7,0.1,balanced,1,1,0.832749153020892,0.5452380952380952,0.6889936241294936
early_l2_concat,7,0.1,balanced,1,2,0.8580243850352547,0.5761904761904761,0.7171074306128654
early_l2_concat,7,0.1,balanced,1,3,0.8367357642357643,0.4523809523809524,0.6445583583083584
early_l2_concat,7,0.1,balanced,1,4,0.842061561626779,0.47380952380952385,0.6579355427181515
early_l2_concat,7,0.1,balanced,2,0,0.8641377934235077,0.567687074829932,0.7159124341267198
early_l2_concat,7,0.1,balanced,2,1,0.8903862079949035,0.6047619047619046,0.7475740563784041
early_l2_concat,7,0.1,balanced,2,2,0.8719923373727723,0.45238095238095244,0.6621866448768623
early_l2_concat,7,0.1,balanced,2,3,0.757825507825508,0.36904761904761907,0.5634365634365635
early_l2_concat,7,0.1,balanced,2,4,0.8597083351431177,0.5809523809523809,0.7203303580477494
early_l2_concat,8,1.0,none,0,0,0.736492290778005,0.286734693877551,0.511613492327778
